Control_CR,Control_RPS,Control_CMR,Variant_CR,Variant_RPS,Variant_CMR
0.184387618,19.77739794,11.87572903,0.175016265,18.82746259,12.69876383
0.173208723,18.80805192,12.25275182,0.167125026,18.4102179,12.81806643
0.176202416,19.22800547,12.08661956,0.179364388,22.23529822,12.9508054
0.177313578,19.25376245,12.7306291,0.169234532,17.70607728,13.62191245
0.174085295,18.68776742,12.88813796,0.191334895,21.31158548,13.13278689
0.177136752,23.51159829,11.69059829,0.169629471,19.2447205,12.57763975
0.177261879,25.11782382,12.11195487,0.169061708,19.34142434,12.48013525
0.164194479,18.05585084,11.79892872,0.166596462,19.07858467,12.31866049
0.16194655,18.76742587,9.757877942,0.170991964,19.22486234,10.44658148
0.195902229,23.20390187,11.13587347,0.207866168,25.38202171,10.96885567
0.169375143,20.29951934,11.83749142,0.17975763,19.42990126,11.95915619
0.174258351,19.03646111,12.23826209,0.185168125,21.68513819,11.87724551
0.093190626,10.84027496,11.42369441,0.12961211,14.70956291,11.16991485
0.177386594,21.707478,11.61205146,0.174497817,20.02092402,11.42008734
0.168608757,18.94203919,12.18732345,0.172298486,20.07846533,11.9968321
0.193872509,21.1023917,11.28430242,0.190529695,21.40380257,10.73788122
0.199388846,22.57851286,11.81130634,0.199798691,20.89758681,12.1278309
0.191189691,20.75117471,12.29487564,0.223043746,24.76976895,12.25477511
0.199033267,24.75357407,12.23883992,0.214039125,25.07617664,11.89096663
0.202002503,22.98388736,11.74818523,0.211934644,22.61930855,11.41652853
0.219259259,23.3963679,11.85679012,0.203317416,24.45167881,11.39205831
0.195945946,20.98224012,11.52546778,0.194349987,20.6376746,11.6560293
0.19388576,21.64217216,10.62670957,0.195634435,21.09736638,10.82925337
0.223609802,26.32578935,11.39066918,0.211692598,22.77908062,11.0261669
0.204021448,31.02330563,11.38927614,0.189069832,25.80294231,11.05630693
0.229303857,26.11795861,11.52634055,0.25702536,29.96898561,11.71989947
0.254401408,32.00549824,11.48556338,0.249818049,29.62763464,11.68340611
0.177537932,19.07927577,9.874550289,0.180206567,27.79953445,9.979343302
0.159387663,19.51994747,9.871979589,0.171585348,21.60936378,9.764941421
0.174661029,19.66175536,10.047383,0.170087977,20.93359531,9.82888563
0.218186436,23.63067818,11.88392177,0.203841229,24.36785403,11.59487836
0.18928875,19.35793709,10.92179088,0.206067544,22.00950773,10.78277046
0.223507757,27.73736261,11.17749145,0.184681078,19.47050707,11.00800641
0.190340909,20.28477746,10.88991477,0.196572827,22.77971603,10.38408813
0.214703237,28.74390513,10.8370054,0.231202161,28.13815849,10.58374606
0.194315929,22.52560035,10.99889844,0.198696336,26.34493369,10.79163857
0.22093465,24.43017097,10.66717325,0.220625364,26.08827151,10.87725772
0.236277342,29.41411061,10.88113908,0.218631977,26.34112253,11.04532102
0.206930693,22.00256683,11.18267327,0.223445913,31.42115516,10.87689672
0.199711954,24.31665867,10.87133941,0.196721311,20.8101378,10.92587313
0.228960668,28.16030323,11.29993408,0.199325843,23.02633258,10.77842697
0.209226771,28.28965345,11.34372969,0.18648885,21.92364451,10.75360735
0.193877551,21.14470039,11.46721667,0.197837838,22.13834162,11.0627027
0.22732599,34.59652215,10.95828451,0.20682547,25.15522904,11.05382501
0.211174009,22.16580605,10.99015506,0.212059792,24.72812516,11.29870788
0.203214383,23.15778534,11.36883683,0.237159697,38.48556273,10.92113388
0.185721676,20.33801086,11.26668391,0.211783026,25.91117052,11.36465092
0.214450069,25.74921537,11.38495168,0.183520599,22.39825843,11.14606742
0.189380911,20.4225258,11.71646604,0.180506993,21.25795017,11.77534965
